HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.95, High: 15.95, Low: 15.95, Close: 15.95, Volume: 0, Count: 0, WAP: 15.95
AMD: - Date: 20180706  08:44:00, Open: 15.86, High: 15.96, Low: 15.86, Close: 15.95, Volume: 1466, Count: 215, WAP: 15.9225
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.96, Low: 15.96, Close: 15.96, Volume: 85, Count: 23, WAP: 15.96
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.96, Close: 15.96, Volume: 289, Count: 70, WAP: 15.9601
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.96, Close: 15.96, Volume: 289, Count: 70, WAP: 15.9601
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.94, Close: 15.94, Volume: 571, Count: 118, WAP: 15.9532
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.93, Close: 15.94, Volume: 752, Count: 156, WAP: 15.9486
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.93, Close: 15.95, Volume: 836, Count: 183, WAP: 15.948
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.93, Close: 15.95, Volume: 836, Count: 183, WAP: 15.948
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.93, Close: 15.93, Volume: 1167, Count: 222, WAP: 15.9446
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.93, Close: 15.94, Volume: 1185, Count: 234, WAP: 15.9445
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.93, Close: 15.95, Volume: 1207, Count: 245, WAP: 15.9445
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.93, Close: 15.94, Volume: 1237, Count: 258, WAP: 15.9444
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.94, Low: 15.94, Close: 15.94, Volume: 2, Count: 1, WAP: 15.94
AMD: - Date: 20180706  08:45:00, Open: 15.96, High: 15.97, Low: 15.93, Close: 15.94, Volume: 1237, Count: 258, WAP: 15.9444
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.94, Close: 15.95, Volume: 68, Count: 16, WAP: 15.9497
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.94, Close: 15.95, Volume: 84, Count: 20, WAP: 15.9498
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.93, Close: 15.94, Volume: 167, Count: 40, WAP: 15.9423
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.92, Close: 15.93, Volume: 302, Count: 85, WAP: 15.9335
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.92, Close: 15.92, Volume: 312, Count: 87, WAP: 15.933
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.91, Close: 15.92, Volume: 326, Count: 93, WAP: 15.9325
